,x,y,Train=1/Test=0
0,1,0.0,1
1,4,0.0190370857496,1
2,7,0.0136952565048,1
3,10,0.0208971855217,1
4,13,0.0474515586909,1
5,16,0.0697656151399,1
6,19,0.0943273682602,1
7,22,0.108282019091,1
8,25,0.124033166604,1
9,28,0.138050756262,1
10,31,0.150782666746,1
11,34,0.165830194695,1
12,37,0.181517406987,1
13,40,0.195084460918,1
14,43,0.206206366287,1
15,46,0.215660973941,1
16,49,0.225114585202,1
17,52,0.236303747102,1
18,55,0.24479002677,1
19,58,0.253279295617,1
20,61,0.259389011777,1
21,64,0.266140405067,1
22,67,0.269291165979,1
23,70,0.273920075992,1
24,73,0.276556698086,1
25,76,0.28054393097,1
26,79,0.282409012707,1
27,82,0.284916767967,1
28,85,0.287552393668,1
29,88,0.288966275416,1
30,91,0.290316886205,1
31,94,0.291152693915,1
32,97,0.292246235295,1
33,100,0.293725048657,1
34,103,0.295074663053,1
35,106,0.295460599297,1
36,109,0.296039337598,1
37,112,0.296811210086,1
38,115,0.296939080528,1
39,118,0.297904419335,1
40,121,0.29803295404,1
41,124,0.298418890284,1
42,127,0.298483157636,1
43,130,0.298675959693,1
44,133,0.298996964322,1
45,136,0.29919009851,1
46,139,0.299382900567,1
47,142,0.299382900567,1
48,145,0.299704237328,1
49,148,0.299382568436,1
50,151,0.299704569459,1
51,154,0.299833104163,1
52,157,0.299768836811,1
53,160,0.299640302106,1
54,163,0.299640302106,1
55,166,0.299704569459,1
56,169,0.299704569459,1
57,172,0.299704569459,1
58,175,0.299704569459,1
59,178,0.299640302106,1
60,181,0.299704569459,1
61,184,0.299640302106,1
62,187,0.299704569459,1
63,190,0.299704569459,1
64,193,0.299768836811,1
65,196,0.299768836811,1
66,199,0.299768836811,1
67,1,0.219896640827,0
68,4,0.115710594315,0
69,7,0.0519638242894,0
70,10,0.0635917312661,0
71,13,0.0966020671835,0
72,16,0.122635658915,0
73,19,0.134870801034,0
74,22,0.148772609819,0
75,25,0.15519379845,0
76,28,0.16330749354,0
77,31,0.177687338501,0
78,34,0.182997416021,0
79,37,0.198669250646,0
80,40,0.211304909561,0
81,43,0.217648578811,0
82,46,0.233242894057,0
83,49,0.240801033592,0
84,52,0.247751937984,0
85,55,0.257002583979,0
86,58,0.262764857881,0
87,61,0.269160206718,0
88,64,0.273178294574,0
89,67,0.276111111111,0
90,70,0.279547803618,0
91,73,0.283617571059,0
92,76,0.285943152455,0
93,79,0.287635658915,0
94,82,0.289909560724,0
95,85,0.291627906977,0
96,88,0.292816537468,0
97,91,0.293927648579,0
98,94,0.293979328165,0
99,97,0.296279069767,0
100,100,0.296304909561,0
101,103,0.295723514212,0
102,106,0.296860465116,0
103,109,0.298630490956,0
104,112,0.299186046512,0
105,115,0.300348837209,0
106,118,0.300348837209,0
107,121,0.300348837209,0
108,124,0.29976744186,0
109,127,0.298604651163,0
110,130,0.298049095607,0
111,133,0.298049095607,0
112,136,0.298630490956,0
113,139,0.299211886305,0
114,142,0.299211886305,0
115,145,0.299211886305,0
116,148,0.299793281654,0
117,151,0.299211886305,0
118,154,0.298656330749,0
119,157,0.299793281654,0
120,160,0.299793281654,0
121,163,0.299793281654,0
122,166,0.299793281654,0
123,169,0.299793281654,0
124,172,0.299793281654,0
125,175,0.299793281654,0
126,178,0.299793281654,0
127,181,0.299793281654,0
128,184,0.299793281654,0
129,187,0.299793281654,0
130,190,0.299793281654,0
131,193,0.299793281654,0
132,196,0.299793281654,0
133,199,0.299793281654,0
